,Magnitude,Place,Datetime,Depth
10035,4.1,"160 km SE of Lata, Solomon Islands",2021-04-23 05:59:39 (UTC),146.5 km
10036,4.4,south of Tonga,2021-04-23 05:37:37 (UTC),10.0 km
10037,4.3,"22 km SSW of Namie, Japan",2021-04-23 05:12:23 (UTC),66.6 km
10038,3.2,"32 km SE of Mina, Nevada",2021-04-23 05:00:38 (UTC),8.8 km
10039,4.2,"10 km NNW of Harar, Ethiopia",2021-04-23 04:54:47 (UTC),10.0 km
10040,3.1,"68 km SW of Adak, Alaska",2021-04-23 04:25:58 (UTC),34.0 km
10041,4.0,"82 km SW of San Antonio, Chile",2021-04-23 04:13:14 (UTC),10.0 km
10042,4.1,"87 km SW of San Antonio, Chile",2021-04-23 03:56:10 (UTC),10.0 km
10043,4.2,"87 km SW of San Antonio, Chile",2021-04-23 03:53:12 (UTC),10.0 km
10044,2.6,"35 km NE of Adak, Alaska",2021-04-23 03:50:02 (UTC),10.0 km
10045,3.3,"5 km SE of La Parguera, Puerto Rico",2021-04-23 03:21:59 (UTC),9.0 km
10046,3.1,"5 km SSE of La Parguera, Puerto Rico",2021-04-23 03:19:28 (UTC),12.0 km
10047,4.2,"59 km NW of Essaouira, Morocco",2021-04-23 02:59:21 (UTC),10.0 km
10048,4.6,Ascension Island region,2021-04-23 02:29:19 (UTC),10.0 km
10049,4.6,"Izu Islands, Japan region",2021-04-23 02:19:31 (UTC),61.3 km
10050,4.9,south of the Fiji Islands,2021-04-23 02:14:47 (UTC),549.2 km
10051,3.0,"4 km NW of Big Lake, Alaska",2021-04-23 01:52:07 (UTC),44.9 km
10052,4.2,"33 km SE of Skýros, Greece",2021-04-23 01:24:30 (UTC),10.0 km
10080,4.6,"58 km WSW of Huarmey, Peru",2021-04-23 01:20:47 (UTC),52.3 km
10081,4.2,"Kermadec Islands, New Zealand",2021-04-23 00:52:45 (UTC),253.6 km
10082,4.1,"91 km WSW of San Antonio, Chile",2021-04-23 00:47:42 (UTC),10.0 km
10083,2.5,"26 km NE of Stanley, Idaho",2021-04-23 00:29:55 (UTC),10.0 km
10084,2.9,"186 km W of Ferndale, California",2021-04-23 00:22:40 (UTC),10.0 km
10085,2.8,"1km W of Anderson Springs, CA",2021-04-23 00:08:08 (UTC),2.6 km
10086,3.2,off the coast of Northern California,2021-04-23 00:04:49 (UTC),14.5 km
10087,3.0,"152 km S of False Pass, Alaska",2021-04-22 23:50:05 (UTC),10.0 km
10088,4.6,South Sandwich Islands region,2021-04-22 23:36:10 (UTC),106.9 km
10089,4.6,"95 km WNW of Kirakira, Solomon Islands",2021-04-22 23:35:02 (UTC),62.7 km
10090,3.9,"149 km S of False Pass, Alaska",2021-04-22 23:25:05 (UTC),18.0 km
10091,2.8,"66 km NW of Lake Minchumina, Alaska",2021-04-22 23:08:47 (UTC),13.5 km
10092,4.3,south of the Fiji Islands,2021-04-22 22:48:18 (UTC),532.5 km
10093,4.1,"83 km NNE of Calama, Chile",2021-04-22 22:29:26 (UTC),117.6 km
10094,4.5,"72 km S of Vanimo, Papua New Guinea",2021-04-22 22:00:02 (UTC),35.0 km
10095,4.2,"84 km WSW of San Antonio, Chile",2021-04-22 21:57:19 (UTC),10.0 km
10096,4.1,"84 km WSW of San Antonio, Chile",2021-04-22 21:45:13 (UTC),10.0 km
10097,2.8,"268 km WSW of Adak, Alaska",2021-04-22 21:36:29 (UTC),18.1 km
10098,4.1,"47 km S of Jurm, Afghanistan",2021-04-22 21:07:39 (UTC),203.3 km
10099,4.3,"130 km NE of Lospalos, Timor Leste",2021-04-22 20:55:12 (UTC),54.8 km
10100,4.3,south of the Fiji Islands,2021-04-22 20:36:35 (UTC),584.8 km
10101,4.7,"11 km WSW of Silago, Philippines",2021-04-22 20:31:24 (UTC),25.8 km
10102,4.5,south of the Fiji Islands,2021-04-22 19:53:30 (UTC),572.7 km
10103,4.4,"34 km S of Mandráki, Greece",2021-04-22 19:49:58 (UTC),10.0 km
10104,4.2,"190 km WNW of Panguna, Papua New Guinea",2021-04-22 19:42:34 (UTC),35.0 km
10105,2.8,"102 km SSE of Nikolai, Alaska",2021-04-22 19:29:42 (UTC),3.7 km
10106,4.6,"119 km WNW of Neiafu, Tonga",2021-04-22 19:27:32 (UTC),153.6 km
10107,3.7,"106 km ESE of Adak, Alaska",2021-04-22 19:06:37 (UTC),35.0 km
10108,4.4,"211 km SSW of Bengkulu, Indonesia",2021-04-22 18:35:49 (UTC),10.0 km
10109,4.6,"201 km NNE of Laikit, Laikit II (Dimembe), Indonesia",2021-04-22 18:33:34 (UTC),51.8 km
10110,2.6,"12 km ENE of Point Possession, Alaska",2021-04-22 18:03:07 (UTC),51.3 km
10111,4.4,Banda Sea,2021-04-22 17:41:12 (UTC),163.8 km
10112,3.7,"4 km ESE of La Parguera, Puerto Rico",2021-04-22 17:01:02 (UTC),8.0 km
10113,4.0,"4 km SW of Pung-Pang, Philippines",2021-04-22 16:43:48 (UTC),194.8 km
10114,4.6,"140 km NE of Neiafu, Tonga",2021-04-22 16:39:37 (UTC),10.0 km
10115,3.0,"94 km SW of Adak, Alaska",2021-04-22 16:39:04 (UTC),18.1 km
10116,4.8,"71 km S of Masachapa, Nicaragua",2021-04-22 16:32:49 (UTC),44.0 km
10117,4.5,"183 km SSE of Amahai, Indonesia",2021-04-22 16:15:32 (UTC),189.8 km
10118,3.4,"61 km N of San Antonio, Puerto Rico",2021-04-22 16:04:26 (UTC),19.0 km
10119,4.1,"Izu Islands, Japan region",2021-04-22 14:11:44 (UTC),455.9 km
10120,3.0,"Andreanof Islands, Aleutian Islands, Alaska",2021-04-22 13:54:22 (UTC),191.5 km
10121,4.2,"86 km SW of San Antonio, Chile",2021-04-22 12:46:19 (UTC),10.0 km
10122,4.4,"210 km SW of Grindavík, Iceland",2021-04-22 12:07:45 (UTC),10.0 km
10123,4.3,"10 km N of Jordán, Colombia",2021-04-22 11:51:47 (UTC),150.0 km
10124,4.4,"84 km SW of San Antonio, Chile",2021-04-22 10:29:01 (UTC),10.0 km
10125,3.1,"4 km SE of Maria Antonia, Puerto Rico",2021-04-22 08:56:40 (UTC),9.0 km
10153,4.5,Fiji region,2021-04-22 08:55:26 (UTC),567.9 km
10154,4.6,Mid-Indian Ridge,2021-04-22 08:35:13 (UTC),10.0 km
10155,4.1,"74 km NNW of Wanaka, New Zealand",2021-04-22 08:07:32 (UTC),12.0 km
10156,4.1,"224 km E of Levuka, Fiji",2021-04-22 08:03:41 (UTC),568.3 km
10157,4.2,"26 km WNW of Uñon, Peru",2021-04-22 07:27:36 (UTC),131.2 km
10158,4.0,"168 km E of Amahai, Indonesia",2021-04-22 07:04:03 (UTC),10.0 km
10159,3.1,"9km WSW of Toms Place, CA",2021-04-22 07:00:10 (UTC),8.2 km
10160,3.4,"71 km NW of Rincón, Puerto Rico",2021-04-22 06:17:39 (UTC),6.0 km
10161,3.2,"86 km E of Nikolski, Alaska",2021-04-22 05:48:41 (UTC),35.0 km
10162,3.7,"50 km NE of Miches, Dominican Republic",2021-04-22 04:58:44 (UTC),7.0 km
10163,2.6,"15km ESE of Yosemite Valley, CA",2021-04-22 04:55:18 (UTC),17.6 km
10164,4.3,southeast Indian Ridge,2021-04-22 03:56:25 (UTC),10.0 km
10165,2.9,"135 km S of Fort McPherson, Canada",2021-04-22 03:37:07 (UTC),10.0 km
10166,4.5,south of the Kermadec Islands,2021-04-22 03:09:10 (UTC),10.0 km
10167,4.1,"207 km NW of Rikaze, China",2021-04-22 03:08:52 (UTC),10.0 km
10168,2.6,"15 km SSE of Guánica, Puerto Rico",2021-04-22 02:14:06 (UTC),12.0 km
10169,2.7,"3 km SW of Guánica, Puerto Rico",2021-04-22 02:07:21 (UTC),11.0 km
10170,4.6,"218 km SSW of Bengkulu, Indonesia",2021-04-22 01:14:52 (UTC),10.0 km
10171,2.7,"8 km SW of Clam Gulch, Alaska",2021-04-22 00:45:43 (UTC),61.9 km
10172,5.5,"82 km WSW of San Antonio, Chile",2021-04-22 00:17:15 (UTC),13.0 km
10173,4.6,"279 km E of Samarai, Papua New Guinea",2021-04-22 00:11:11 (UTC),10.0 km
10174,4.1,"44 km WNW of Kunduz, Afghanistan",2021-04-21 23:26:36 (UTC),10.0 km
10175,4.5,"114 km NW of Gizo, Solomon Islands",2021-04-21 23:19:33 (UTC),61.1 km
10176,4.4,"275 km E of Samarai, Papua New Guinea",2021-04-21 23:07:02 (UTC),10.0 km
10177,4.2,"186 km SSE of Sarangani, Philippines",2021-04-21 22:54:38 (UTC),10.0 km
10178,4.5,southeast of the Loyalty Islands,2021-04-21 22:31:56 (UTC),10.0 km
10179,4.2,"6 km NNE of Chicureo Abajo, Chile",2021-04-21 21:55:04 (UTC),64.5 km
10180,4.9,"201 km W of Haveluloto, Tonga",2021-04-21 21:49:47 (UTC),292.2 km
10181,4.0,southern Iran,2021-04-21 21:39:16 (UTC),10.0 km
10182,4.2,"61 km SSW of Pagar Alam, Indonesia",2021-04-21 20:12:14 (UTC),66.2 km
10183,4.3,"178 km SE of Port Blair, India",2021-04-21 19:45:11 (UTC),10.0 km
10184,4.5,"40 km WSW of Codrington, Antigua and Barbuda",2021-04-21 19:43:51 (UTC),24.8 km
10185,4.4,"197 km SSE of Port Blair, India",2021-04-21 19:39:01 (UTC),8.0 km
10186,4.5,"122 km W of Abra Pampa, Argentina",2021-04-21 19:35:51 (UTC),256.6 km
10187,4.8,D'Entrecasteaux Islands region,2021-04-21 19:35:18 (UTC),10.0 km
10188,4.6,"201 km SE of Port Blair, India",2021-04-21 19:34:42 (UTC),26.1 km
10189,4.2,"79 km SSW of Kuril’sk, Russia",2021-04-21 19:04:29 (UTC),101.3 km
10190,4.4,"196 km NE of Gisborne, New Zealand",2021-04-21 17:10:05 (UTC),10.0 km
10191,4.0,"Pagan region, Northern Mariana Islands",2021-04-21 15:52:28 (UTC),224.9 km
10192,4.3,"272 km ENE of Samarai, Papua New Guinea",2021-04-21 15:37:46 (UTC),10.0 km
10193,4.3,"15 km SE of Sulangan, Philippines",2021-04-21 15:32:49 (UTC),10.0 km
10194,2.5,"176 km SSE of Adak, Alaska",2021-04-21 15:26:01 (UTC),10.0 km
10195,4.3,"9 km E of Bengkulu, Indonesia",2021-04-21 14:32:31 (UTC),106.2 km
10196,2.8,"116 km SSW of Kaktovik, Alaska",2021-04-21 14:11:43 (UTC),6.8 km
10197,4.5,South Shetland Islands,2021-04-21 14:11:18 (UTC),10.0 km
10198,4.7,"92 km W of Dêqên, China",2021-04-21 13:28:26 (UTC),10.0 km
10226,4.7,"271 km E of Samarai, Papua New Guinea",2021-04-21 12:17:21 (UTC),10.0 km
10227,4.3,"97 km N of Alotau, Papua New Guinea",2021-04-21 12:13:04 (UTC),10.0 km
10228,3.0,"1 km ENE of P?hala, Hawaii",2021-04-21 12:09:04 (UTC),36.5 km
10229,4.4,"53 km ESE of Yilan, Taiwan",2021-04-21 10:55:58 (UTC),10.0 km
10230,2.8,"6 km SSW of Indios, Puerto Rico",2021-04-21 10:36:46 (UTC),12.0 km
10231,3.5,"45 km SE of Boca de Yuma, Dominican Republic",2021-04-21 10:35:02 (UTC),73.0 km
10232,4.4,off the east coast of the North Island of New Zealand,2021-04-21 10:30:05 (UTC),10.0 km
10233,4.8,"92 km ESE of Isangel, Vanuatu",2021-04-21 10:05:13 (UTC),10.0 km
10234,4.2,Mariana Islands region,2021-04-21 09:28:19 (UTC),136.6 km
10235,4.5,Kermadec Islands region,2021-04-21 09:00:27 (UTC),10.0 km
10236,4.5,"7 km E of Bayugan, Philippines",2021-04-21 08:45:12 (UTC),10.0 km
10237,4.4,"79 km SW of San Antonio, Chile",2021-04-21 08:15:44 (UTC),10.0 km
10238,4.3,"40 km ESE of Katsuren-haebaru, Japan",2021-04-21 08:13:04 (UTC),10.0 km
10239,4.5,"83 km SW of San Antonio, Chile",2021-04-21 08:08:22 (UTC),10.0 km
10240,3.0,"53 km SSW of Whites City, New Mexico",2021-04-21 07:58:12 (UTC),6.0 km
10241,4.4,south of the Fiji Islands,2021-04-21 07:45:10 (UTC),511.9 km
10242,2.5,"85 km SW of Kaktovik, Alaska",2021-04-21 07:20:31 (UTC),16.6 km
10243,4.4,"279 km E of Samarai, Papua New Guinea",2021-04-21 07:00:29 (UTC),10.0 km
10244,4.5,"171 km SSE of Kokopo, Papua New Guinea",2021-04-21 06:02:11 (UTC),10.0 km
10245,2.5,"11 km SW of Milford, Utah",2021-04-21 05:56:35 (UTC),2.8 km
10246,4.1,"9 km W of Mandráki, Greece",2021-04-21 05:46:39 (UTC),141.0 km
10247,2.6,"28 km SSE of Mina, Nevada",2021-04-21 05:16:01 (UTC),4.8 km
10248,4.4,"74 km SW of Mendi, Papua New Guinea",2021-04-21 04:47:34 (UTC),10.0 km
10249,2.6,"14 km WSW of Savoonga, Alaska",2021-04-21 04:16:46 (UTC),10.3 km
10250,3.0,"3km SW of San Juan Bautista, CA",2021-04-21 03:55:27 (UTC),5.6 km
10251,4.0,"163 km SE of Atka, Alaska",2021-04-21 01:32:41 (UTC),25.8 km
10252,2.8,"1 km ESE of Guayanilla, Puerto Rico",2021-04-21 01:07:25 (UTC),13.0 km
10253,4.2,"144 km NW of Tocopilla, Chile",2021-04-21 00:38:44 (UTC),6.0 km
10254,4.2,"135 km ENE of Iquique, Chile",2021-04-21 00:33:41 (UTC),106.6 km
10255,4.2,"139 km WSW of Hihifo, Tonga",2021-04-21 00:24:47 (UTC),304.6 km
10256,4.3,"196 km SE of Kokopo, Papua New Guinea",2021-04-21 00:01:56 (UTC),77.0 km
10257,3.1,"5 km ESE of La Parguera, Puerto Rico",2021-04-20 23:07:30 (UTC),7.0 km
10258,4.2,"227 km WNW of Kangding, China",2021-04-20 21:26:43 (UTC),10.0 km
10259,3.0,"3 km NNW of Dubrava, Croatia",2021-04-20 21:15:40 (UTC),14.0 km
10260,4.4,Mariana Islands region,2021-04-20 21:13:45 (UTC),10.0 km
10261,2.8,"6 km E of P?hala, Hawaii",2021-04-20 21:08:23 (UTC),35.0 km
10262,4.2,Mariana Islands region,2021-04-20 20:21:38 (UTC),10.0 km
10263,2.5,"57 km S of Whites City, New Mexico",2021-04-20 20:11:27 (UTC),6.4 km
10264,3.5,"Mining Explosion 13 km E of Wright, Wyoming",2021-04-20 20:06:31 (UTC),0.0 km
10265,5.0,Mariana Islands region,2021-04-20 20:01:27 (UTC),10.0 km
10266,3.4,"46 km SSW of Ivanof Bay, Alaska",2021-04-20 19:58:04 (UTC),65.4 km
10267,4.2,"126 km SSW of Sofifi, Indonesia",2021-04-20 19:50:33 (UTC),16.1 km
10268,3.0,"22 km SSW of Hualien City, Taiwan",2021-04-20 19:34:12 (UTC),10.0 km
10269,4.6,"294 km ESE of Yigo Village, Guam",2021-04-20 19:23:15 (UTC),10.3 km
10270,4.5,south of the Fiji Islands,2021-04-20 19:21:07 (UTC),492.0 km
10271,2.8,"Mining Explosion 4 km NNW of Gillette, Wyoming",2021-04-20 18:58:28 (UTC),0.0 km
10299,4.4,"74 km W of Tobelo, Indonesia",2021-04-20 18:16:46 (UTC),132.5 km
10300,4.3,"4 km NNW of Bandar-e Gen?veh, Iran",2021-04-20 17:55:28 (UTC),10.0 km
10301,4.8,"9 km ENE of Komoro, Japan",2021-04-20 17:39:58 (UTC),169.3 km
10302,3.8,"Rat Islands, Aleutian Islands, Alaska",2021-04-20 17:36:32 (UTC),100.9 km
10303,4.3,null,2021-04-20 17:31:20 (UTC),10.0 km
10304,4.6,"81 km SW of Puerto Madero, Mexico",2021-04-20 17:23:37 (UTC),12.8 km
10305,4.1,Guam region,2021-04-20 17:08:23 (UTC),143.5 km
10306,4.4,"163 km SSW of Abepura, Indonesia",2021-04-20 16:26:24 (UTC),56.5 km
10307,2.7,Gulf of Alaska,2021-04-20 16:12:44 (UTC),10.0 km
10308,4.4,"22 km WSW of Acajutla, El Salvador",2021-04-20 15:52:32 (UTC),73.5 km
10309,4.4,"250 km E of Levuka, Fiji",2021-04-20 15:12:03 (UTC),587.7 km
10310,2.7,"18km W of Petrolia, CA",2021-04-20 14:08:45 (UTC),22.7 km
10311,2.8,"5 km SE of La Parguera, Puerto Rico",2021-04-20 13:47:23 (UTC),8.0 km
10312,3.2,"Hawaii region, Hawaii",2021-04-20 13:39:50 (UTC),10.0 km
10313,4.2,Kermadec Islands region,2021-04-20 13:15:11 (UTC),440.1 km
10314,2.7,"14 km NW of Stanley, Idaho",2021-04-20 13:12:44 (UTC),10.0 km
10315,4.6,Kermadec Islands region,2021-04-20 13:04:11 (UTC),10.0 km
10316,3.2,"5 km ESE of La Parguera, Puerto Rico",2021-04-20 12:46:06 (UTC),9.0 km
10317,3.6,"5 km ESE of La Parguera, Puerto Rico",2021-04-20 12:22:20 (UTC),8.0 km
10318,4.2,"285 km WNW of Haveluloto, Tonga",2021-04-20 11:45:51 (UTC),510.1 km
10319,2.6,"106 km SSE of Sand Point, Alaska",2021-04-20 11:09:00 (UTC),19.7 km
10320,4.5,south of the Fiji Islands,2021-04-20 10:48:57 (UTC),512.6 km
10321,4.7,Kermadec Islands region,2021-04-20 10:24:23 (UTC),10.0 km
10322,4.0,"20km ENE of Redway, CA",2021-04-20 09:48:34 (UTC),33.9 km
10323,2.5,"60 km SSW of Whites City, New Mexico",2021-04-20 09:04:26 (UTC),6.2 km
10324,4.1,"3 km SSE of Bandar-e Gen?veh, Iran",2021-04-20 08:36:34 (UTC),10.0 km
10325,4.7,"13 km ESE of Claver, Philippines",2021-04-20 08:30:13 (UTC),82.8 km
10326,4.1,"6 km NE of Mesariá, Greece",2021-04-20 08:21:56 (UTC),10.0 km
10327,4.0,"79 km W of Kandrian, Papua New Guinea",2021-04-20 08:19:52 (UTC),80.5 km
10328,2.6,"110 km SSE of Sand Point, Alaska",2021-04-20 08:07:12 (UTC),19.2 km
10329,2.7,"Kenai Peninsula, Alaska",2021-04-20 07:55:52 (UTC),64.3 km
10330,4.3,"69 km SSW of Bandar Lampung, Indonesia",2021-04-20 07:32:52 (UTC),57.7 km
10331,2.7,"3km WSW of Redlands, CA",2021-04-20 07:03:37 (UTC),15.9 km
10332,3.1,"Rat Islands, Aleutian Islands, Alaska",2021-04-20 06:37:42 (UTC),35.0 km
10333,4.1,"113 km SSW of Severo-Kuril’sk, Russia",2021-04-20 06:16:29 (UTC),84.3 km
10334,3.6,"95 km N of Charlotte Amalie, U.S. Virgin Islands",2021-04-20 05:59:43 (UTC),58.0 km
10335,2.8,"58 km SE of King Salmon, Alaska",2021-04-20 05:58:27 (UTC),142.1 km
10336,3.2,"34 km SSE of Nikolski, Alaska",2021-04-20 05:14:03 (UTC),35.0 km
10337,4.6,"23 km S of Mandráki, Greece",2021-04-20 05:09:53 (UTC),10.0 km
10338,2.9,"9km W of Toms Place, CA",2021-04-20 05:07:51 (UTC),8.0 km
10339,3.3,"7 km WSW of Fuig, Puerto Rico",2021-04-20 04:58:54 (UTC),9.0 km
10340,4.9,"9 km S of Chilca, Peru",2021-04-20 04:53:29 (UTC),44.6 km
10341,2.8,"135 km SW of Adak, Alaska",2021-04-20 04:42:53 (UTC),35.0 km
10342,4.1,"289 km E of Kendari, Indonesia",2021-04-20 04:42:46 (UTC),376.7 km
10343,3.5,"2 km NNW of Indios, Puerto Rico",2021-04-20 04:32:08 (UTC),16.0 km
10344,2.8,"15km E of Willows, CA",2021-04-20 04:25:20 (UTC),22.5 km
10372,4.0,"161 km NNE of Yonakuni, Japan",2021-04-20 03:13:41 (UTC),220.6 km
10373,3.8,"15km E of Willows, CA",2021-04-20 02:39:04 (UTC),23.1 km
10374,4.3,Mariana Islands region,2021-04-20 02:30:33 (UTC),10.0 km
10375,2.6,"39 km W of Kalifornsky, Alaska",2021-04-20 02:30:03 (UTC),86.3 km
10376,5.3,West Chile Rise,2021-04-20 02:26:04 (UTC),10.0 km
10377,4.2,"267 km S of Sinabang, Indonesia",2021-04-20 02:23:05 (UTC),10.0 km
10378,4.7,"282 km WSW of Tual, Indonesia",2021-04-20 01:35:32 (UTC),106.4 km
10379,3.1,"Rat Islands, Aleutian Islands, Alaska",2021-04-20 01:29:08 (UTC),116.6 km
10380,2.7,"115 km S of Sand Point, Alaska",2021-04-20 01:28:10 (UTC),26.2 km
10381,2.8,"65 km SE of Nikolski, Alaska",2021-04-20 01:20:10 (UTC),35.0 km
10382,3.7,"Pagan region, Northern Mariana Islands",2021-04-20 01:10:20 (UTC),254.5 km
10383,4.3,"51 km W of Kirakira, Solomon Islands",2021-04-20 01:00:17 (UTC),51.3 km
10384,4.9,South Sandwich Islands region,2021-04-20 00:43:45 (UTC),59.1 km
10385,6.1,"254 km S of Sinabang, Indonesia",2021-04-19 23:58:22 (UTC),9.0 km
10386,4.8,"48 km WNW of Gadung, Philippines",2021-04-19 23:49:42 (UTC),616.5 km
10387,3.3,"45 km NNW of San Antonio, Puerto Rico",2021-04-19 23:34:49 (UTC),6.0 km
10388,4.9,southeast Indian Ridge,2021-04-19 23:16:36 (UTC),10.0 km
10389,4.2,"107 km ESE of Kokopo, Papua New Guinea",2021-04-19 22:57:12 (UTC),43.5 km
10390,3.9,"3 km SW of Wiener Neustadt, Austria",2021-04-19 22:57:11 (UTC),10.6 km
10391,3.5,"8 km SW of Dibble, Oklahoma",2021-04-19 22:11:35 (UTC),11.4 km
10392,4.3,"31 km NNE of Bandar-e Gen?veh, Iran",2021-04-19 21:32:49 (UTC),10.0 km
10393,2.9,"40 km SSE of False Pass, Alaska",2021-04-19 21:14:07 (UTC),17.9 km
10394,3.6,"46 km NNW of Stanley, Idaho",2021-04-19 20:42:37 (UTC),10.0 km
10395,2.8,"264 km ESE of Chiniak, Alaska",2021-04-19 20:41:26 (UTC),10.0 km
10396,4.2,"7 km NE of Locumba, Peru",2021-04-19 20:31:50 (UTC),105.5 km
10397,3.1,"2 km W of Point MacKenzie, Alaska",2021-04-19 20:06:03 (UTC),38.7 km
10398,4.4,"264 km S of Alo, Wallis and Futuna",2021-04-19 20:01:00 (UTC),545.5 km
10399,4.4,"111 km ESE of Kandrian, Papua New Guinea",2021-04-19 19:38:43 (UTC),10.0 km
10400,2.7,"16 km N of Willow, Alaska",2021-04-19 19:27:05 (UTC),9.1 km
10401,2.6,"Quarry Blast 15 km SSW of Elkford, Canada",2021-04-19 19:01:56 (UTC),-2.0 km
10402,2.9,"54 km N of Brenas, Puerto Rico",2021-04-19 18:59:12 (UTC),32.0 km
10403,4.0,"3km SW of Anderson Springs, CA",2021-04-19 18:50:58 (UTC),2.9 km
10404,2.6,"102 km WSW of Elfin Cove, Alaska",2021-04-19 18:32:38 (UTC),10.0 km
10405,4.0,"155 km SSE of Sand Point, Alaska",2021-04-19 18:32:33 (UTC),10.0 km
10406,4.3,"63 km ENE of Namie, Japan",2021-04-19 18:10:17 (UTC),67.5 km
10407,4.2,"49 km NNE of Archidona, Ecuador",2021-04-19 17:13:54 (UTC),24.3 km
10408,4.3,"114 km NE of Madang, Papua New Guinea",2021-04-19 16:17:18 (UTC),16.1 km
10409,4.0,"156 km ESE of Levuka, Fiji",2021-04-19 15:31:05 (UTC),566.7 km
10410,4.4,"78 km WSW of San Antonio, Chile",2021-04-19 15:02:08 (UTC),10.0 km
10411,2.5,"22 km WNW of Stanley, Idaho",2021-04-19 14:31:52 (UTC),10.0 km
10412,4.2,"81 km WSW of San Antonio, Chile",2021-04-19 13:47:22 (UTC),10.0 km
10413,4.2,"81 km WSW of San Antonio, Chile",2021-04-19 13:31:05 (UTC),3.0 km
10414,2.6,"102 km ESE of Adak, Alaska",2021-04-19 13:10:13 (UTC),35.0 km
10415,5.0,"79 km WSW of San Antonio, Chile",2021-04-19 13:05:26 (UTC),10.3 km
10416,4.4,"27 km SW of Ashk?sham, Afghanistan",2021-04-19 12:56:02 (UTC),218.3 km
10417,4.4,south of the Fiji Islands,2021-04-19 12:51:51 (UTC),534.9 km
10445,4.1,"127 km NNW of Gizo, Solomon Islands",2021-04-19 12:32:37 (UTC),133.0 km
10446,3.2,"108 km ESE of Akutan, Alaska",2021-04-19 12:05:41 (UTC),20.6 km
10447,2.7,"114 km E of Chignik, Alaska",2021-04-19 12:00:49 (UTC),34.9 km
10448,4.5,"111 km NNW of Lorengau, Papua New Guinea",2021-04-19 11:39:38 (UTC),10.0 km
10449,4.9,"127 km NNW of Lorengau, Papua New Guinea",2021-04-19 11:35:55 (UTC),10.0 km
10450,4.4,"131 km N of Calama, Chile",2021-04-19 11:34:47 (UTC),117.3 km
10451,5.1,"81 km WSW of San Antonio, Chile",2021-04-19 11:13:28 (UTC),10.0 km
10452,2.9,"3 km S of Guánica, Puerto Rico",2021-04-19 11:00:49 (UTC),13.0 km
10453,4.3,"24 km WSW of Shikotan, Russia",2021-04-19 10:22:31 (UTC),75.1 km
10454,2.9,western Texas,2021-04-19 09:59:39 (UTC),7.4 km
10455,3.2,"30 km SE of Emajagua, Puerto Rico",2021-04-19 09:45:21 (UTC),7.0 km
10456,4.4,"13 km SSW of Taquile, Peru",2021-04-19 08:27:57 (UTC),248.5 km
10457,3.9,"Andreanof Islands, Aleutian Islands, Alaska",2021-04-19 08:06:45 (UTC),221.3 km
10458,4.8,"121 km W of Ternate, Indonesia",2021-04-19 07:35:01 (UTC),37.0 km
10459,5.2,"120 km NE of Lospalos, Timor Leste",2021-04-19 07:07:36 (UTC),76.0 km
10460,4.1,"10 km ESE of Guisguis, Philippines",2021-04-19 07:07:04 (UTC),35.0 km
10461,2.9,"33 km S of Atka, Alaska",2021-04-19 06:36:59 (UTC),3.1 km
10462,2.7,null,2021-04-19 06:33:32 (UTC),33.0 km
10463,4.3,"83 km NE of Shikotan, Russia",2021-04-19 06:31:36 (UTC),105.9 km
10464,4.0,"20 km WNW of Bandar-e Gen?veh, Iran",2021-04-19 06:10:36 (UTC),10.0 km
10465,5.2,"85 km WSW of San Antonio, Chile",2021-04-19 04:11:26 (UTC),8.8 km
10466,5.3,off the coast of Ecuador,2021-04-19 04:10:05 (UTC),10.0 km
10467,4.9,"42 km SSE of Ishinomaki, Japan",2021-04-19 04:06:21 (UTC),56.4 km
10468,5.1,"85 km WSW of San Antonio, Chile",2021-04-19 03:18:57 (UTC),12.8 km
10469,2.5,"60 km SE of Denali National Park, Alaska",2021-04-19 03:06:55 (UTC),126.7 km
10470,4.2,"30 km NNW of Bandar-e Gen?veh, Iran",2021-04-19 02:46:04 (UTC),10.0 km
10471,2.8,"7km NW of The Geysers, CA",2021-04-19 02:21:39 (UTC),1.7 km
10472,4.2,"10 km WNW of Bandar-e Gen?veh, Iran",2021-04-19 01:48:23 (UTC),10.0 km
10473,4.5,southeast of Easter Island,2021-04-19 01:22:55 (UTC),10.0 km
10474,4.6,"91 km ENE of Tadine, New Caledonia",2021-04-19 00:41:34 (UTC),10.0 km
10475,4.5,"6 km WNW of Sama Grande, Peru",2021-04-19 00:27:32 (UTC),27.8 km
10476,4.1,"193 km N of Lospalos, Timor Leste",2021-04-19 00:02:07 (UTC),399.4 km
10477,2.7,"38km WNW of Petrolia, CA",2021-04-18 23:46:14 (UTC),24.3 km
10478,4.5,"1 km SW of Tiltepec, Mexico",2021-04-18 22:47:28 (UTC),129.7 km
10479,4.4,"21 km NNW of Bandar-e Gen?veh, Iran",2021-04-18 22:43:50 (UTC),10.0 km
10480,4.3,"21 km NNE of Bandar-e Gen?veh, Iran",2021-04-18 22:41:45 (UTC),10.0 km
10481,4.4,Iceland region,2021-04-18 22:24:22 (UTC),10.0 km
10482,4.7,"19 km NE of Bandar-e Gen?veh, Iran",2021-04-18 22:17:46 (UTC),10.0 km
10483,4.9,south of the Fiji Islands,2021-04-18 22:08:10 (UTC),61.2 km
